1|Halo Kamu|Aku Punya Sesuatu Nih|Scroll ke bawah ya|Kamu SYG Engga Sama Aku? 🤭❤️|SYG|GA|Wewww|Seberapa syg nih?|Uhuuuyy|Makasi udh sayang sama aku |Skrg kamu kngn g?|Y|G|Hemmm|I LV U|Mencintaimu ibarat<br>Goreng ndog<br>Diceplok dadar|Jgn lupa balas ke WA ya!|.
89|Hay Calista|Rey ada sesuatu nih🤭||Ita sayang ga sama rey?🤭💗||||Seberapa sayang sama rey nih🤭||Maksihhh udah sayang sama rey|Sekarang Ita kangen ga sama rey.🙁|||Hm..aku juga kangen sama Ita|||Jangan lupa balas Chet Rey ya'|.
90|Hay lu!|Gw ada suatu nih buat lu|Scroll ke bawah ye|Seberapa berharga gw di mata lu sih?|B aja tp berharga lah dikit|Ke sampah aja sih|Owh, kalau menurut gw sih lu itu berharga!|Seberapa berharga gw?|Thanks!|Thanks dah mau jd orang yg ga mau nyerah buat dapetin gw|Lu beruntung ga sih bisa ketemu gw|Yah beruntung ga beruntung lah ya|Ga|Oh, makasih ya dah jd orang yg baik!|Cuma bisa bilang babayo✨|I just want to say thank you for being kind to me, and I'm sorry because I was mean to you and didn't appreciate you, thanks friend✨|Jangan lupa bales di wa ya😉|.
91||||||||||||||||||.
92||||||||||||||||||.
93||||||||||||||||||.
94|Dini|||||||||||||||||.
95|||||Sayang |||Sayang Bngtt lhh||Hhee iyya|Kngen hhe||||Tuuu|||.
96||||||||||||||||||.
97|Hai rahim|||||||||||||||||.
98|Hii supraa|||Mau rcb ngga|||Ok|Kiro kiro regane brp persen|Okelah|Matur nuwun |Koe pengen i max 2 pro ra|||Oke nak glm|Y|Sok lak tumbaske|Okk|.
99||||||||||||||||||.
100|Hay Felix nya aku||||Sayang bangett!!!!|||ga bisa diukur sangking sayang nya ak ke kmu :)||Masamaa makasii jugaa Uda mw ma ak yg banyak mwww :v|Sekarang kamu mau ketemu aku gak?|Mww bangettttt!!!!||Hm..aku juga mau ketemu kamu|I love you too babyyyy :3|||.
101|||||Sayang|||Sangat sayang||||Kangen||||||.
102|||||||||||||||| ||.
103|||||||Aku sayang banget sama kamu loh|Kalo kamu sayang seberapa sayang sih||||||Aku kangen banget sama kamu||||.
104||||||||||||||||||.
105||||||||||||||||||.
